DATE,rate
2014/9/1,6.216553
2014/10/1,6.3595456
2014/11/1,6.2977231
2014/12/1,6.109701
2015/1/1,6.352143
2015/2/1,6.1660008
2015/3/1,6.1149739
2015/4/1,6.1216758
2015/5/1,5.9331828
2015/6/1,5.9886409
2015/7/1,6.2562318
2015/8/1,6.0675444
2015/9/1,6.1465858
2015/10/1,5.9114361
2015/11/1,5.8538463
2015/12/1,5.7470062
2016/1/1,6.0433538
2016/2/1,5.7174444
2016/3/1,5.6722936
2016/4/1,5.6601885
2016/5/1,5.7195295
2016/6/1,5.6664102
2016/7/1,5.6728409
2016/8/1,5.5874579
2016/9/1,5.6244907
2016/10/1,5.5721352
2016/11/1,5.7626425
2016/12/1,5.8334645
2017/1/1,5.70919
2017/2/1,5.8858856
2017/3/1,5.8872711
2017/4/1,5.6368433
2017/5/1,5.5397968
2017/6/1,5.5609771
2017/7/1,5.5656538
2017/8/1,5.4890028
2017/9/1,5.4210412
2017/10/1,5.3503905
2017/11/1,5.4212864
2017/12/1,5.6064958
2018/1/1,5.5355251
2018/2/1,5.6095307
2018/3/1,5.5550483
2018/4/1,5.5591555
2018/5/1,5.3860262
2018/6/1,5.2775333
2018/7/1,5.2593185
2018/8/1,5.2398975
2018/9/1,4.9868633
2018/10/1,4.9798139
2018/11/1,5.1085135
2018/12/1,5.004922
2019/1/1,5.0813734
2019/2/1,5.0077837
2019/3/1,5.1358012
2019/4/1,5.2429674
2019/5/1,5.199353
2019/6/1,5.2015374
2019/7/1,5.2281542
2019/8/1,5.2235551
2019/9/1,5.1605881
2019/10/1,5.2718181
2019/11/1,5.1576593
2019/12/1,5.0472177
2020/1/1,5.3119857
2020/2/1,5.1342532
2020/3/1,5.2742562
2020/4/1,6.3797049
2020/5/1,7.0208478
2020/6/1,7.3571039
2020/7/1,7.4471785
2020/8/1,6.7567081
2020/9/1,6.8559952
2020/10/1,6.941253
2020/11/1,6.8382035
2020/12/1,6.5852243
2021/1/1,6.4047091
2021/2/1,5.8728099
2021/3/1,5.6969005
2021/4/1,5.4787217
2021/5/1,5.0710469
2021/6/1,4.90947
2021/7/1,4.6336688
